City,State,Median_Age,Male_Population,Female_Population,Total_Population,NumberofVeterans,Foreign_born,Average_Household_Size,State_Code,American_Indian_and_Alaska_Native,Hispanic_or_Latino,White,Asian,Black_or_African_American
Laredo,Texas,28.8,124305,131484,255789,4921,68427,3.66,TX,1253,243190,246442,1963,832
Largo,Florida,45.1,38166,42841,81007,8310,10489,2.28,FL,881,9561,73502,3249,5860
Las Cruces,New Mexico,32.7,47835,53809,101644,9421,11888,2.58,NM,2368,60614,91201,3266,3825
Las Vegas,Nevada,37.5,310568,313201,623769,42397,127609,2.79,NV,8456,204913,429142,55745,84987
Lauderhill,Florida,35.7,32813,38761,71574,1965,25471,3.02,FL,1186,6089,10788,2662,56948
Lawrence,Kansas,27.4,45592,48324,93916,2986,8701,2.53,KS,4239,6435,79793,6547,5777
Lawrence,Massachusetts,30.8,37464,42776,80240,1190,29170,3.17,MA,,63175,40757,2149,9221
Lawton,Oklahoma,31.1,51099,45560,96659,11572,6123,2.72,OK,10027,13780,63948,5173,25767
Layton,Utah,29.5,37748,36394,74142,3811,4268,3.24,UT,1674,10123,65333,2889,2710
League City,Texas,35.9,49354,48996,98350,6484,8361,2.72,TX,,14868,86012,8163,4166
Lee's Summit,Missouri,36.8,48353,46715,95068,6624,3803,2.68,MO,1251,4504,82915,3013,7100
Lehigh Acres,Florida,34.3,57856,61624,119480,5551,31880,3.55,FL,1675,42092,86328,1853,29998
Lewisville,Texas,31.6,52776,52032,104808,4211,24865,2.78,TX,1371,31757,70278,12412,16948
Lexington-Fayette  county,Kentucky,34.4,154032,160456,314488,16661,28613,2.34,KY,3187,21766,249339,14066,51493
Lincoln,Nebraska,32.3,138544,138802,277346,14694,22958,2.4,NE,4281,20296,246677,15138,16445
Little Rock,Arkansas,36.6,96997,100989,197986,12343,16640,2.36,AR,961,15500,102312,8423,85606
Livermore,California,36.7,41522,46595,88117,3063,13959,2.91,CA,941,19582,73440,14116,3199
Livonia,Michigan,47.4,45369,49264,94633,5397,7175,2.52,MI,445,1772,87383,2719,4633
Long Beach,California,34.6,238159,236013,474172,17463,127764,2.78,CA,12841,207890,277962,68095,64948
Longmont,Colorado,36.8,43941,48280,92221,4925,10424,2.63,CO,1682,24846,85853,2255,1782
Longview,Texas,36.8,40065,41525,81590,5512,8782,2.55,TX,253,17614,60997,1810,19904
Lorain,Ohio,35.6,30844,32807,63651,4905,1531,2.52,OH,904,19342,46667,308,16388
Los Angeles,California,35,1958998,2012898,3971896,85417,1485425,2.86,CA,63758,1936732,2177650,512999,404868
Louisville/Jefferson County metro government,Kentucky,37.5,298451,316938,615389,39364,37875,2.45,KY,4585,28712,456451,18601,151256
Loveland,Colorado,37.6,37042,38146,75188,5667,3050,2.53,CO,1029,13567,71538,1549,950
Lowell,Massachusetts,33.4,54422,56298,110720,3764,33414,2.8,MA,868,22095,68838,28944,7310
Lubbock,Texas,29.2,122320,126731,249051,10588,14226,2.61,TX,7627,90706,206318,7508,23594
Lynchburg,Virginia,28.7,38614,41198,79812,4322,4364,2.48,VA,1024,2689,53727,2910,23271
Lynn,Massachusetts,34.8,44598,47861,92459,3093,29899,2.81,MA,1176,33250,50652,9205,18240
Lynwood,California,29.4,35634,36371,72005,776,28061,4.43,CA,,63377,48670,994,5346
Macon,Georgia,36,71833,81626,153459,10735,4846,2.46,GA,682,4897,64117,3588,84569
Madison,Wisconsin,30.7,122596,126360,248956,9707,30090,2.23,WI,2296,19697,204302,23937,20424
Manchester,New Hampshire,37.3,54845,55378,110223,5473,14506,2.4,NH,558,11962,100108,4304,6896
Manteca,California,35.3,37053,38397,75450,3936,13942,3.25,CA,2861,31552,56156,8172,6279
Maple Grove,Minnesota,38.6,31780,36601,68381,2943,7645,2.64,MN,549,1685,59683,6088,2951
Marysville,Washington,33.2,33436,33337,66773,5714,7721,2.79,WA,3260,7142,58894,6185,1800
Mayag??ez,Puerto Rico,38.1,30799,35782,66581,,,,PR,,65521,,235,
McAllen,Texas,32.3,68332,71921,140253,4356,37691,3.19,TX,664,113829,107763,5575,3332
McKinney,Texas,35.6,77339,85548,162887,8082,25760,2.91,TX,1801,31705,129192,13882,16689
Medford,Oregon,38.6,39606,40189,79795,6632,6185,2.65,OR,1239,14294,75464,2135,1201
Melbourne,Florida,43.4,39180,40956,80136,8363,9685,2.37,FL,251,6060,65397,5186,11721
Memphis,Tennessee,34.1,312237,343523,655760,31189,43318,2.55,TN,4127,46621,202961,15778,420983
Menifee,California,37.1,42866,44297,87163,6821,12481,3.06,CA,1639,29790,62331,7108,7773
Merced,California,29.7,40048,42392,82440,3723,16348,3.15,CA,2331,43684,42475,9911,6464
Meridian,Idaho,38,43353,47400,90753,5640,8110,2.54,ID,492,6596,84625,2693,1809
Mesa,Arizona,36.9,234998,236835,471833,31808,57492,2.68,AZ,16044,131425,413010,14608,22699
